order_id,product_id,quantity,unit_price
1961864118,642612,3,517.03
1549769649,378676,1,881.42
9185164487,741341,2,923.84
9644738826,561860,1,874.78
5427684290,602241,2,976.55
3265154092,681063,1,321.28
4898355547,56589,3,517.77
6568151549,500739,2,359.98
6006693867,490939,1,80.25
374186990,760828,2,563.45
4455336265,753354,3,423.56
3539286337,684939,1,727.95
9171116867,500739,3,359.98
5504941865,540618,1,317.05
5868326481,53833,3,134.69
2137046916,455755,2,44.09
8195544338,131937,1,287.81
2889700050,798639,1,211.25
65827885,324809,3,608
4656471694,679284,1,877.89
6625178717,952168,3,236.95
7169557514,706112,2,478.79
2268306684,812607,2,416.65
6905293278,799952,1,922.64
1769493463,709916,3,33.76
5003387344,67197,3,552.2
2064484752,937542,3,97.04
964822979,455755,2,44.09
6037899648,669378,1,212.14
9347571484,112390,2,877.98
3286177534,891833,1,493.19
9073572548,60619,1,726.41
8395583761,561860,3,874.78
